After Task \ On Task,Task 0,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29
Task 20,0.1444,0.2210,0.2872,0.3338,0.2097,0.4725,0.2169,0.0879,0.1367,0.1343,0.1558,0.1519,0.2889,0.2469,0.1959,0.1961,0.1534,0.1650,0.1464,0.2800,0.9676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Task 21,0.1546,0.1048,0.1645,0.1565,0.2290,0.2862,0.2512,0.1650,0.2510,0.1780,0.1126,0.1280,0.2314,0.1486,0.1109,0.2080,0.2768,0.1669,0.3614,0.2355,0.2285,0.9589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Task 22,0.2097,0.0725,0.0857,0.1623,0.2232,0.2389,0.3708,0.1848,0.1582,0.1715,0.1906,0.1758,0.2826,0.1249,0.1814,0.1841,0.2350,0.2341,0.1408,0.1761,0.2355,0.2737,0.9594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Task 23,0.2382,0.1046,0.1326,0.1353,0.1696,0.1601,0.1036,0.1587,0.3386,0.0903,0.1162,0.0787,0.1447,0.1705,0.1780,0.3304,0.1411,0.2894,0.1437,0.1242,0.1630,0.2816,0.2705,0.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Task 24,0.1428,0.2454,0.2676,0.1483,0.0935,0.1063,0.3725,0.1669,0.2502,0.1357,0.1287,0.2877,0.1437,0.2411,0.0809,0.1778,0.1275,0.2338,0.2442,0.1802,0.2539,0.1473,0.1587,0.1222,0.9628,0.0000,0.0000,0.0000,0.0000,0.0000
Task 25,0.2365,0.1184,0.1143,0.1572,0.3512,0.1186,0.2343,0.3244,0.2614,0.3029,0.3225,0.3068,0.3254,0.1415,0.1705,0.0896,0.2722,0.0754,0.3932,0.2012,0.1698,0.2995,0.2611,0.1389,0.1655,0.9633,0.0000,0.0000,0.0000,0.0000
Task 26,0.1734,0.1333,0.1565,0.1896,0.2302,0.2329,0.2072,0.1635,0.1841,0.1229,0.2275,0.0771,0.2440,0.1244,0.2017,0.2722,0.1966,0.3440,0.1855,0.1234,0.1242,0.2913,0.2234,0.2263,0.1464,0.2242,0.9816,0.0000,0.0000,0.0000
Task 27,0.1746,0.3024,0.2128,0.2200,0.1792,0.1937,0.0792,0.2304,0.2500,0.1476,0.2804,0.1949,0.1572,0.1935,0.2800,0.1787,0.1176,0.1519,0.2372,0.1256,0.1870,0.1010,0.1705,0.1343,0.1751,0.2906,0.1877,0.9650,0.0000,0.0000
Task 28,0.2577,0.1374,0.1935,0.2106,0.1696,0.1077,0.2085,0.1483,0.1459,0.1915,0.1213,0.2923,0.1167,0.1577,0.2650,0.1365,0.1483,0.2251,0.1227,0.1807,0.2138,0.1391,0.2423,0.2744,0.2693,0.1671,0.1964,0.1990,0.9768,0.0000
Task 29,0.2056,0.2275,0.2442,0.1527,0.1568,0.2114,0.1014,0.2251,0.1244,0.2988,0.1874,0.2331,0.2372,0.3444,0.2007,0.1481,0.1565,0.0848,0.1814,0.3399,0.2527,0.2594,0.2080,0.1703,0.1862,0.1512,0.1744,0.1838,0.2360,0.9763
